Task ID,Message Type,Req. Timestamp,Method,URL,Code,Reason,RTT,Size Req. Header,Size Req. Body,Size Resp. Header,Size Resp. Body,Highest Alert,State,Payloads
0,Original,Thu Aug 24 14:42:47 IST 2023,GET,https://0ae200e404d8d34c800c0d73008b00e7.web-security-academy.net/,200,OK,766,701,0,130,11474,Medium,,[]
7,Fuzzed,Thu Aug 24 15:11:57 IST 2023,GET,https://0ae200e404d8d34c800c0d73008b00e7.web-security-academy.net/,200,OK,742,704,0,130,11413,,Reflected,"[1, g]"
1,Fuzzed,Thu Aug 24 15:11:57 IST 2023,GET,https://0ae200e404d8d34c800c0d73008b00e7.web-security-academy.net/,200,OK,780,704,0,130,11413,,Reflected,"[1, a]"
3,Fuzzed,Thu Aug 24 15:11:57 IST 2023,GET,https://0ae200e404d8d34c800c0d73008b00e7.web-security-academy.net/,200,OK,777,704,0,130,11413,,Reflected,"[1, c]"
5,Fuzzed,Thu Aug 24 15:11:57 IST 2023,GET,https://0ae200e404d8d34c800c0d73008b00e7.web-security-academy.net/,200,OK,795,704,0,130,11413,,Reflected,"[1, e]"
4,Fuzzed,Thu Aug 24 15:11:57 IST 2023,GET,https://0ae200e404d8d34c800c0d73008b00e7.web-security-academy.net/,200,OK,836,704,0,130,11413,,Reflected,"[1, d]"
8,Fuzzed,Thu Aug 24 15:11:57 IST 2023,GET,https://0ae200e404d8d34c800c0d73008b00e7.web-security-academy.net/,200,OK,879,704,0,130,11413,,Reflected,"[1, h]"
6,Fuzzed,Thu Aug 24 15:11:57 IST 2023,GET,https://0ae200e404d8d34c800c0d73008b00e7.web-security-academy.net/,200,OK,883,704,0,130,11413,,Reflected,"[1, f]"
2,Fuzzed,Thu Aug 24 15:11:57 IST 2023,GET,https://0ae200e404d8d34c800c0d73008b00e7.web-security-academy.net/,200,OK,934,704,0,130,11413,,Reflected,"[1, b]"
9,Fuzzed,Thu Aug 24 15:11:57 IST 2023,GET,https://0ae200e404d8d34c800c0d73008b00e7.web-security-academy.net/,200,OK,686,704,0,130,11413,,Reflected,"[1, i]"
12,Fuzzed,Thu Aug 24 15:11:57 IST 2023,GET,https://0ae200e404d8d34c800c0d73008b00e7.web-security-academy.net/,200,OK,702,704,0,130,11413,,Reflected,"[1, l]"
15,Fuzzed,Thu Aug 24 15:11:58 IST 2023,GET,https://0ae200e404d8d34c800c0d73008b00e7.web-security-academy.net/,200,OK,643,704,0,130,11413,,Reflected,"[1, o]"
10,Fuzzed,Thu Aug 24 15:11:57 IST 2023,GET,https://0ae200e404d8d34c800c0d73008b00e7.web-security-academy.net/,200,OK,758,704,0,130,11413,,Reflected,"[1, j]"
11,Fuzzed,Thu Aug 24 15:11:57 IST 2023,GET,https://0ae200e404d8d34c800c0d73008b00e7.web-security-academy.net/,200,OK,791,704,0,130,11474,,Reflected,"[1, k]"
14,Fuzzed,Thu Aug 24 15:11:58 IST 2023,GET,https://0ae200e404d8d34c800c0d73008b00e7.web-security-academy.net/,200,OK,700,704,0,130,11413,,Reflected,"[1, n]"
16,Fuzzed,Thu Aug 24 15:11:58 IST 2023,GET,https://0ae200e404d8d34c800c0d73008b00e7.web-security-academy.net/,200,OK,716,704,0,130,11413,,Reflected,"[1, p]"
17,Fuzzed,Thu Aug 24 15:11:58 IST 2023,GET,https://0ae200e404d8d34c800c0d73008b00e7.web-security-academy.net/,200,OK,619,704,0,130,11413,,Reflected,"[1, q]"
13,Fuzzed,Thu Aug 24 15:11:57 IST 2023,GET,https://0ae200e404d8d34c800c0d73008b00e7.web-security-academy.net/,200,OK,1257,704,0,130,11413,,Reflected,"[1, m]"
20,Fuzzed,Thu Aug 24 15:11:58 IST 2023,GET,https://0ae200e404d8d34c800c0d73008b00e7.web-security-academy.net/,200,OK,608,704,0,130,11413,,Reflected,"[1, t]"
19,Fuzzed,Thu Aug 24 15:11:58 IST 2023,GET,https://0ae200e404d8d34c800c0d73008b00e7.web-security-academy.net/,200,OK,634,704,0,130,11413,,Reflected,"[1, s]"
18,Fuzzed,Thu Aug 24 15:11:58 IST 2023,GET,https://0ae200e404d8d34c800c0d73008b00e7.web-security-academy.net/,200,OK,670,704,0,130,11413,,Reflected,"[1, r]"
21,Fuzzed,Thu Aug 24 15:11:58 IST 2023,GET,https://0ae200e404d8d34c800c0d73008b00e7.web-security-academy.net/,200,OK,641,704,0,130,11413,,Reflected,"[1, u]"
22,Fuzzed,Thu Aug 24 15:11:58 IST 2023,GET,https://0ae200e404d8d34c800c0d73008b00e7.web-security-academy.net/,200,OK,634,704,0,130,11413,,Reflected,"[1, v]"
23,Fuzzed,Thu Aug 24 15:11:58 IST 2023,GET,https://0ae200e404d8d34c800c0d73008b00e7.web-security-academy.net/,200,OK,849,704,0,130,11413,,Reflected,"[1, w]"
24,Fuzzed,Thu Aug 24 15:11:59 IST 2023,GET,https://0ae200e404d8d34c800c0d73008b00e7.web-security-academy.net/,200,OK,609,704,0,130,11413,,Reflected,"[1, x]"
28,Fuzzed,Thu Aug 24 15:11:59 IST 2023,GET,https://0ae200e404d8d34c800c0d73008b00e7.web-security-academy.net/,200,OK,663,704,0,130,11413,,Reflected,"[1, 1]"
27,Fuzzed,Thu Aug 24 15:11:59 IST 2023,GET,https://0ae200e404d8d34c800c0d73008b00e7.web-security-academy.net/,200,OK,677,704,0,130,11413,,Reflected,"[1, 0]"
30,Fuzzed,Thu Aug 24 15:11:59 IST 2023,GET,https://0ae200e404d8d34c800c0d73008b00e7.web-security-academy.net/,200,OK,626,704,0,130,11413,,Reflected,"[1, 3]"
29,Fuzzed,Thu Aug 24 15:11:59 IST 2023,GET,https://0ae200e404d8d34c800c0d73008b00e7.web-security-academy.net/,200,OK,656,704,0,130,11413,,Reflected,"[1, 2]"
25,Fuzzed,Thu Aug 24 15:11:59 IST 2023,GET,https://0ae200e404d8d34c800c0d73008b00e7.web-security-academy.net/,200,OK,784,704,0,130,11413,,Reflected,"[1, y]"
26,Fuzzed,Thu Aug 24 15:11:59 IST 2023,GET,https://0ae200e404d8d34c800c0d73008b00e7.web-security-academy.net/,200,OK,754,704,0,130,11413,,Reflected,"[1, z]"
31,Fuzzed,Thu Aug 24 15:11:59 IST 2023,GET,https://0ae200e404d8d34c800c0d73008b00e7.web-security-academy.net/,200,OK,669,704,0,130,11413,,Reflected,"[1, 4]"
32,Fuzzed,Thu Aug 24 15:11:59 IST 2023,GET,https://0ae200e404d8d34c800c0d73008b00e7.web-security-academy.net/,200,OK,627,704,0,130,11413,,Reflected,"[1, 5]"
34,Fuzzed,Thu Aug 24 15:11:59 IST 2023,GET,https://0ae200e404d8d34c800c0d73008b00e7.web-security-academy.net/,200,OK,625,704,0,130,11413,,Reflected,"[1, 7]"
35,Fuzzed,Thu Aug 24 15:12:00 IST 2023,GET,https://0ae200e404d8d34c800c0d73008b00e7.web-security-academy.net/,200,OK,656,704,0,130,11413,,Reflected,"[1, 8]"
33,Fuzzed,Thu Aug 24 15:11:59 IST 2023,GET,https://0ae200e404d8d34c800c0d73008b00e7.web-security-academy.net/,200,OK,664,704,0,130,11413,,Reflected,"[1, 6]"
38,Fuzzed,Thu Aug 24 15:12:00 IST 2023,GET,https://0ae200e404d8d34c800c0d73008b00e7.web-security-academy.net/,200,OK,641,704,0,130,11413,,Reflected,"[2, b]"
37,Fuzzed,Thu Aug 24 15:12:00 IST 2023,GET,https://0ae200e404d8d34c800c0d73008b00e7.web-security-academy.net/,200,OK,770,704,0,130,11413,,Reflected,"[2, a]"
36,Fuzzed,Thu Aug 24 15:12:00 IST 2023,GET,https://0ae200e404d8d34c800c0d73008b00e7.web-security-academy.net/,200,OK,808,704,0,130,11413,,Reflected,"[1, 9]"
39,Fuzzed,Thu Aug 24 15:12:00 IST 2023,GET,https://0ae200e404d8d34c800c0d73008b00e7.web-security-academy.net/,200,OK,675,704,0,130,11413,,Reflected,"[2, c]"
40,Fuzzed,Thu Aug 24 15:12:00 IST 2023,GET,https://0ae200e404d8d34c800c0d73008b00e7.web-security-academy.net/,200,OK,680,704,0,130,11413,,Reflected,"[2, d]"
41,Fuzzed,Thu Aug 24 15:12:00 IST 2023,GET,https://0ae200e404d8d34c800c0d73008b00e7.web-security-academy.net/,200,OK,612,704,0,130,11413,,Reflected,"[2, e]"
