Task ID,Message Type,Req. Timestamp,Method,URL,Code,Reason,RTT,Size Req. Header,Size Req. Body,Size Resp. Header,Size Resp. Body,Highest Alert,State,Payloads
0,Original,Thu Aug 31 13:34:02 IST 2023,GET,https://0a5800350373c4d883b6282f00200040.web-security-academy.net/,500,Internal Server Error,925,764,0,148,2226,,,[]
1,Fuzzed,Thu Aug 31 13:48:01 IST 2023,GET,https://0a5800350373c4d883b6282f00200040.web-security-academy.net/,200,OK,850,793,0,130,11383,,Reflected,"[1, a]"
4,Fuzzed,Thu Aug 31 13:48:01 IST 2023,GET,https://0a5800350373c4d883b6282f00200040.web-security-academy.net/,200,OK,877,793,0,130,11383,,Reflected,"[1, d]"
7,Fuzzed,Thu Aug 31 13:48:01 IST 2023,GET,https://0a5800350373c4d883b6282f00200040.web-security-academy.net/,200,OK,859,793,0,130,11383,,Reflected,"[1, g]"
6,Fuzzed,Thu Aug 31 13:48:01 IST 2023,GET,https://0a5800350373c4d883b6282f00200040.web-security-academy.net/,200,OK,876,793,0,130,11383,,Reflected,"[1, f]"
2,Fuzzed,Thu Aug 31 13:48:01 IST 2023,GET,https://0a5800350373c4d883b6282f00200040.web-security-academy.net/,200,OK,913,793,0,130,11383,,Reflected,"[1, b]"
3,Fuzzed,Thu Aug 31 13:48:01 IST 2023,GET,https://0a5800350373c4d883b6282f00200040.web-security-academy.net/,200,OK,983,793,0,130,11383,,Reflected,"[1, c]"
5,Fuzzed,Thu Aug 31 13:48:01 IST 2023,GET,https://0a5800350373c4d883b6282f00200040.web-security-academy.net/,200,OK,979,793,0,130,11383,,Reflected,"[1, e]"
8,Fuzzed,Thu Aug 31 13:48:01 IST 2023,GET,https://0a5800350373c4d883b6282f00200040.web-security-academy.net/,200,OK,989,793,0,130,11383,,Reflected,"[1, h]"
9,Fuzzed,Thu Aug 31 13:48:02 IST 2023,GET,https://0a5800350373c4d883b6282f00200040.web-security-academy.net/,200,OK,678,793,0,130,11383,,Reflected,"[1, i]"
12,Fuzzed,Thu Aug 31 13:48:02 IST 2023,GET,https://0a5800350373c4d883b6282f00200040.web-security-academy.net/,200,OK,649,793,0,130,11383,,Reflected,"[1, l]"
10,Fuzzed,Thu Aug 31 13:48:02 IST 2023,GET,https://0a5800350373c4d883b6282f00200040.web-security-academy.net/,200,OK,778,793,0,130,11383,,Reflected,"[1, j]"
13,Fuzzed,Thu Aug 31 13:48:02 IST 2023,GET,https://0a5800350373c4d883b6282f00200040.web-security-academy.net/,200,OK,784,793,0,130,11383,,Reflected,"[1, m]"
15,Fuzzed,Thu Aug 31 13:48:02 IST 2023,GET,https://0a5800350373c4d883b6282f00200040.web-security-academy.net/,200,OK,714,793,0,130,11383,,Reflected,"[1, o]"
14,Fuzzed,Thu Aug 31 13:48:02 IST 2023,GET,https://0a5800350373c4d883b6282f00200040.web-security-academy.net/,200,OK,729,793,0,130,11383,,Reflected,"[1, n]"
