Task ID,Message Type,Req. Timestamp,Method,URL,Code,Reason,RTT,Size Req. Header,Size Req. Body,Size Resp. Header,Size Resp. Body,Highest Alert,State,Payloads
0,Original,Tue Sep 05 14:46:13 IST 2023,GET,https://0aa300f0034d9eee83feab560063001a.web-security-academy.net/,200,OK,5819,719,0,130,11358,Medium,,[]
1,Fuzzed,Tue Sep 05 14:50:55 IST 2023,GET,https://0aa300f0034d9eee83feab560063001a.web-security-academy.net/,200,OK,1028,751,0,130,11358,,Reflected,"[1, a]"
3,Fuzzed,Tue Sep 05 14:50:55 IST 2023,GET,https://0aa300f0034d9eee83feab560063001a.web-security-academy.net/,200,OK,1185,751,0,130,11358,,Reflected,"[1, c]"
4,Fuzzed,Tue Sep 05 14:50:55 IST 2023,GET,https://0aa300f0034d9eee83feab560063001a.web-security-academy.net/,200,OK,1201,751,0,130,11358,,Reflected,"[1, d]"
5,Fuzzed,Tue Sep 05 14:50:55 IST 2023,GET,https://0aa300f0034d9eee83feab560063001a.web-security-academy.net/,200,OK,1214,751,0,130,11358,,Reflected,"[1, e]"
8,Fuzzed,Tue Sep 05 14:50:55 IST 2023,GET,https://0aa300f0034d9eee83feab560063001a.web-security-academy.net/,200,OK,1193,751,0,130,11358,,Reflected,"[1, h]"
2,Fuzzed,Tue Sep 05 14:50:55 IST 2023,GET,https://0aa300f0034d9eee83feab560063001a.web-security-academy.net/,200,OK,1208,751,0,130,11358,,Reflected,"[1, b]"
7,Fuzzed,Tue Sep 05 14:50:55 IST 2023,GET,https://0aa300f0034d9eee83feab560063001a.web-security-academy.net/,200,OK,1192,751,0,130,11358,,Reflected,"[1, g]"
6,Fuzzed,Tue Sep 05 14:50:55 IST 2023,GET,https://0aa300f0034d9eee83feab560063001a.web-security-academy.net/,200,OK,1218,751,0,130,11358,,Reflected,"[1, f]"
9,Fuzzed,Tue Sep 05 14:50:56 IST 2023,GET,https://0aa300f0034d9eee83feab560063001a.web-security-academy.net/,200,OK,974,751,0,130,11358,,Reflected,"[1, i]"
14,Fuzzed,Tue Sep 05 14:50:56 IST 2023,GET,https://0aa300f0034d9eee83feab560063001a.web-security-academy.net/,200,OK,881,751,0,130,11358,,Reflected,"[1, n]"
10,Fuzzed,Tue Sep 05 14:50:56 IST 2023,GET,https://0aa300f0034d9eee83feab560063001a.web-security-academy.net/,200,OK,969,751,0,130,11358,,Reflected,"[1, j]"
15,Fuzzed,Tue Sep 05 14:50:56 IST 2023,GET,https://0aa300f0034d9eee83feab560063001a.web-security-academy.net/,200,OK,901,751,0,130,11358,,Reflected,"[1, o]"
13,Fuzzed,Tue Sep 05 14:50:56 IST 2023,GET,https://0aa300f0034d9eee83feab560063001a.web-security-academy.net/,200,OK,915,751,0,130,11358,,Reflected,"[1, m]"
16,Fuzzed,Tue Sep 05 14:50:56 IST 2023,GET,https://0aa300f0034d9eee83feab560063001a.web-security-academy.net/,200,OK,887,751,0,130,11358,,Reflected,"[1, p]"
12,Fuzzed,Tue Sep 05 14:50:56 IST 2023,GET,https://0aa300f0034d9eee83feab560063001a.web-security-academy.net/,200,OK,1108,751,0,130,11358,,Reflected,"[1, l]"
11,Fuzzed,Tue Sep 05 14:50:56 IST 2023,GET,https://0aa300f0034d9eee83feab560063001a.web-security-academy.net/,200,OK,1120,751,0,130,11358,,Reflected,"[1, k]"
18,Fuzzed,Tue Sep 05 14:50:57 IST 2023,GET,https://0aa300f0034d9eee83feab560063001a.web-security-academy.net/,200,OK,621,751,0,130,11358,,Reflected,"[1, r]"
17,Fuzzed,Tue Sep 05 14:50:57 IST 2023,GET,https://0aa300f0034d9eee83feab560063001a.web-security-academy.net/,200,OK,895,751,0,130,11358,,Reflected,"[1, q]"
20,Fuzzed,Tue Sep 05 14:50:57 IST 2023,GET,https://0aa300f0034d9eee83feab560063001a.web-security-academy.net/,200,OK,788,751,0,130,11358,,Reflected,"[1, t]"
21,Fuzzed,Tue Sep 05 14:50:57 IST 2023,GET,https://0aa300f0034d9eee83feab560063001a.web-security-academy.net/,200,OK,782,751,0,130,11358,,Reflected,"[1, u]"
19,Fuzzed,Tue Sep 05 14:50:57 IST 2023,GET,https://0aa300f0034d9eee83feab560063001a.web-security-academy.net/,200,OK,828,751,0,130,11358,,Reflected,"[1, s]"
